Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
December 31 2022,Fairfax,VA,Passenger,6,2,8,634,642,1.25
December 31 2017,,,Passenger,3,0,3,436,439,0.68
October 31 2020,San Joaquin,CA,Passenger,1,0,1,120,121,0.83
August 31 2023,Franklin,WA,Passenger,357,149,506,62050,62556,0.81
June 30 2024,Walla Walla,WA,Truck,13,0,13,13515,13528,0.10
July 31 2017,Sangamon,IL,Passenger,1,0,1,11,12,8.33
November 30 2017,Prince George's,MD,Passenger,0,1,1,181,182,0.55
August 31 2020,,,Passenger,6,1,7,370,377,1.86
November 30 2018,Fulton,GA,Passenger,1,3,4,108,112,3.57
February 28 2021,Anchorage,AK,Passenger,1,0,1,152,153,0.65
February 28 2018,Juneau,AK,Passenger,0,1,1,43,44,2.27
February 28 2021,Cowlitz,WA,Truck,0,0,0,28964,28964,0.00
March 31 2019,Clay,FL,Passenger,0,1,1,84,85,1.18
February 28 2017,Norfolk,VA,Passenger,1,1,2,304,306,0.65
January 31 2023,Grant,WA,Passenger,231,113,344,66809,67153,0.51
September 30 2017,Adams,WA,Passenger,3,3,6,12259,12265,0.05
July 31 2017,Kitsap,WA,Truck,1,0,1,52514,52515,0.00
November 30 2021,Snohomish,WA,Passenger,6830,2227,9057,537958,547015,1.66
February 29 2020,Adams,WA,Passenger,7,7,14,12904,12918,0.11
February 28 2021,Prince George's,MD,Passenger,2,1,3,151,154,1.95
June 30 2023,Lewis,WA,Passenger,332,211,543,59297,59840,0.91
March 31 2017,Clackamas,OR,Passenger,1,2,3,339,342,0.88
March 31 2018,New London,CT,Passenger,1,0,1,243,244,0.41
January 31 2020,Fairbanks North Star,AK,Passenger,0,1,1,104,105,0.95
February 28 2023,New Haven,CT,Passenger,0,2,2,29,31,6.45
February 28 2021,Penobscot,ME,Passenger,0,1,1,10,11,9.09
March 31 2022,Pend Oreille,WA,Passenger,16,10,26,9037,9063,0.29
May 31 2022,Maricopa,AZ,Passenger,14,4,18,1123,1141,1.58
July 31 2022,Grant,WA,Truck,0,0,0,27943,27943,0.00
October 31 2017,Lee,AL,Passenger,1,0,1,35,36,2.78
January 31 2024,Lincoln,WA,Truck,0,0,0,4780,4780,0.00
December 31 2021,Broward,FL,Passenger,2,0,2,107,109,1.83
September 30 2017,Benton,WA,Truck,0,0,0,40273,40273,0.00
October 31 2020,Nassau,FL,Passenger,1,0,1,35,36,2.78
May 31 2024,Lexington,SC,Passenger,1,0,1,15,16,6.25
July 31 2022,Wilson,TX,Passenger,0,1,1,3,4,25.00
February 28 2021,Thurston,WA,Passenger,1382,810,2192,196929,199121,1.10
December 31 2019,Island,WA,Truck,1,0,1,21345,21346,0.00
December 31 2020,Leavenworth,KS,Passenger,0,1,1,113,114,0.88
September 30 2019,Skagit,WA,Truck,1,0,1,32508,32509,0.00
March 31 2024,Escambia,FL,Passenger,0,1,1,116,117,0.85
October 31 2019,Broward,FL,Passenger,2,1,3,130,133,2.26
October 31 2020,San Francisco,CA,Passenger,1,2,3,97,100,3.00
September 30 2017,Salt Lake,UT,Passenger,1,0,1,254,255,0.39
December 31 2018,Hawaii,HI,Passenger,1,0,1,67,68,1.47
November 30 2017,Eagle,CO,Passenger,1,0,1,7,8,12.50
March 31 2021,Sevier,AR,Passenger,0,1,1,0,1,100.00
June 30 2019,Stevens,WA,Truck,0,0,0,18649,18649,0.00
July 31 2021,Mason,WA,Passenger,215,137,352,48066,48418,0.73
June 30 2022,St. Mary's,MD,Passenger,2,0,2,201,203,0.99
November 30 2019,Shasta,CA,Passenger,1,0,1,40,41,2.44
August 31 2023,St. Louis,MN,Passenger,0,1,1,6,7,14.29
February 29 2024,Solano,CA,Passenger,5,0,5,129,134,3.73
December 31 2023,San Diego,CA,Truck,1,0,1,422,423,0.24
May 31 2021,Riverside,CA,Passenger,5,1,6,585,591,1.02
September 30 2018,Yakima,WA,Passenger,67,93,160,164214,164374,0.10
August 31 2023,Columbia,GA,Passenger,1,0,1,77,78,1.28
July 31 2017,Arlington,VA,Passenger,1,1,2,177,179,1.12
January 31 2023,Autauga,AL,Passenger,2,0,2,13,15,13.33
June 30 2020,Hawaii,HI,Passenger,1,0,1,61,62,1.61
July 31 2023,Anchorage,AK,Passenger,1,0,1,106,107,0.93
August 31 2024,Lee,AL,Passenger,1,0,1,11,12,8.33
May 31 2019,Kalamazoo,MI,Passenger,1,0,1,14,15,6.67
February 28 2022,Galveston,TX,Passenger,0,1,1,21,22,4.55
April 30 2019,Larimer,CO,Passenger,1,0,1,57,58,1.72
December 31 2023,San Benito,CA,Passenger,1,0,1,6,7,14.29
May 31 2018,Benton,WA,Truck,0,0,0,40982,40982,0.00
August 31 2024,King,WA,Passenger,81634,19718,101352,1274599,1375951,7.37
October 31 2020,Walla Walla,WA,Truck,0,0,0,13791,13791,0.00
April 30 2024,San Mateo,CA,Passenger,3,0,3,50,53,5.66
June 30 2018,Ramsey,MN,Passenger,1,0,1,42,43,2.33
February 28 2023,District of Columbia,DC,Passenger,2,0,2,143,145,1.38
July 31 2023,Yellowstone,MT,Passenger,0,1,1,16,17,5.88
April 30 2022,Lincoln,OR,Passenger,0,1,1,33,34,2.94
January 31 2022,Dorchester,SC,Passenger,1,0,1,76,77,1.30
September 30 2023,Cumberland,PA,Passenger,1,0,1,34,35,2.86
July 31 2020,Douglas,NE,Passenger,0,1,1,57,58,1.72
February 28 2019,Los Angeles,CA,Passenger,4,5,9,1120,1129,0.80
November 30 2018,Yakima,WA,Passenger,78,98,176,164654,164830,0.11
February 28 2017,Jefferson,NY,Passenger,1,1,2,254,256,0.78
January 31 2018,Ramsey,MN,Passenger,1,0,1,41,42,2.38
July 31 2019,Fairfax,VA,Passenger,4,1,5,783,788,0.63
September 30 2021,Benton,WA,Truck,0,0,0,43662,43662,0.00
December 31 2023,Douglas,WA,Passenger,247,81,328,28831,29159,1.12
July 31 2019,Kittitas,WA,Truck,0,0,0,14493,14493,0.00
January 31 2023,Solano,CA,Passenger,4,0,4,156,160,2.50
March 31 2018,Sangamon,IL,Passenger,1,0,1,11,12,8.33
August 31 2020,San Mateo,CA,Passenger,1,1,2,118,120,1.67
January 31 2019,Ramsey,MN,Passenger,1,0,1,41,42,2.38
July 31 2022,Jefferson,NY,Passenger,1,0,1,215,216,0.46
July 31 2017,Lumpkin,GA,Passenger,1,0,1,9,10,10.00
August 31 2020,Rockingham,NH,Passenger,1,0,1,22,23,4.35
January 31 2022,Marin,CA,Passenger,1,1,2,40,42,4.76
May 31 2019,Monroe,IL,Passenger,1,0,1,4,5,20.00
November 30 2018,Mason,WA,Passenger,103,108,211,46413,46624,0.45
October 31 2017,Klickitat,WA,Truck,0,0,0,7998,7998,0.00
November 30 2018,Whatcom,WA,Passenger,731,354,1085,149084,150169,0.72
April 30 2019,Benton,WA,Passenger,248,263,511,133262,133773,0.38
September 30 2017,,,Passenger,3,0,3,435,438,0.68
August 31 2018,Douglas,WA,Truck,0,0,0,12024,12024,0.00
February 28 2017,Pacific,WA,Truck,0,0,0,7482,7482,0.00
July 31 2020,Garfield,WA,Passenger,0,1,1,1350,1351,0.07
June 30 2023,Grays Harbor,WA,Passenger,297,187,484,48339,48823,0.99
August 31 2023,Contra Costa,CA,Passenger,1,2,3,168,171,1.75
October 31 2022,Chesterfield,VA,Passenger,1,0,1,37,38,2.63
September 30 2018,Shelby,TN,Passenger,0,1,1,106,107,0.93
May 31 2021,Harris,TX,Passenger,1,1,2,242,244,0.82
June 30 2020,Montgomery,PA,Passenger,1,0,1,31,32,3.12
June 30 2018,Eagle,CO,Passenger,1,0,1,7,8,12.50
February 29 2020,New Haven,CT,Passenger,0,2,2,42,44,4.55
July 31 2021,Whatcom,WA,Passenger,1475,618,2093,150521,152614,1.37
January 31 2019,Chelan,WA,Truck,0,0,0,22098,22098,0.00
March 31 2022,Whitman,WA,Truck,0,0,0,8584,8584,0.00
July 31 2020,Yakima,WA,Passenger,139,119,258,165717,165975,0.16
August 31 2019,Richland,SC,Passenger,0,1,1,157,158,0.63
April 30 2023,Kent,DE,Passenger,1,0,1,47,48,2.08
January 31 2024,Wake,NC,Passenger,4,0,4,75,79,5.06
March 31 2024,New York,NY,Passenger,2,0,2,34,36,5.56
February 28 2023,Sonoma,CA,Passenger,3,1,4,76,80,5.00
April 30 2020,Wilson,TX,Passenger,0,1,1,8,9,11.11
September 30 2018,Lumpkin,GA,Passenger,1,0,1,7,8,12.50
March 31 2020,Cowlitz,WA,Passenger,134,114,248,73147,73395,0.34
December 31 2023,Benton,WA,Truck,36,0,36,43006,43042,0.08
December 31 2019,Jefferson,WA,Passenger,217,134,351,25177,25528,1.37
August 31 2018,Contra Costa,CA,Passenger,0,1,1,432,433,0.23
September 30 2019,Franklin,WA,Truck,0,0,0,19530,19530,0.00
December 31 2021,Orange,CA,Passenger,7,2,9,424,433,2.08
January 31 2024,Whatcom,WA,Passenger,3016,1077,4093,147902,151995,2.69
March 31 2021,Columbia,WA,Truck,0,0,0,1547,1547,0.00
March 31 2017,San Juan,WA,Passenger,88,34,122,13419,13541,0.90
October 31 2023,Richmond,NY,Passenger,1,0,1,4,5,20.00
January 31 2019,St. Clair,IL,Passenger,0,1,1,170,171,0.58
June 30 2023,Beaufort,SC,Passenger,1,0,1,33,34,2.94
July 31 2023,Walla Walla,WA,Passenger,226,115,341,35365,35706,0.96
April 30 2018,Klickitat,WA,Passenger,25,29,54,15048,15102,0.36
July 31 2021,Adams,WA,Passenger,16,12,28,13025,13053,0.21
March 31 2020,Asotin,WA,Passenger,16,12,28,12588,12616,0.22
April 30 2021,Placer,CA,Passenger,2,0,2,87,89,2.25
February 29 2024,Riverside,CA,Passenger,6,0,6,354,360,1.67
January 31 2024,Duval,FL,Passenger,1,0,1,223,224,0.45
March 31 2017,Hawaii,HI,Passenger,1,0,1,91,92,1.09
August 31 2023,Loudoun,VA,Passenger,2,1,3,62,65,4.62
September 30 2023,Mohave,AZ,Passenger,1,0,1,36,37,2.70
August 31 2022,Galveston,TX,Passenger,0,1,1,18,19,5.26
June 30 2019,Oldham,KY,Passenger,0,1,1,5,6,16.67
June 30 2020,Asotin,WA,Passenger,16,12,28,12312,12340,0.23
April 30 2024,District of Columbia,DC,Passenger,2,0,2,123,125,1.60
August 31 2017,Honolulu,HI,Passenger,3,2,5,577,582,0.86
July 31 2019,Santa Fe,NM,Passenger,0,1,1,42,43,2.33
January 31 2018,Prince William,VA,Passenger,0,5,5,264,269,1.86
July 31 2023,Harnett,NC,Passenger,4,1,5,138,143,3.50
November 30 2018,Norfolk,MA,Passenger,1,0,1,38,39,2.56
April 30 2024,Cumberland,PA,Passenger,1,1,2,33,35,5.71
August 31 2024,Caddo,LA,Passenger,2,0,2,9,11,18.18
October 31 2018,Snohomish,WA,Truck,1,0,1,121844,121845,0.00
October 31 2017,Stevens,WA,Passenger,9,22,31,31528,31559,0.10
June 30 2020,Lincoln,WA,Truck,0,0,0,4619,4619,0.00
January 31 2023,Klickitat,WA,Truck,4,0,4,8228,8232,0.05
November 30 2019,Pierce,WA,Truck,0,0,0,140645,140645,0.00
December 31 2021,San Luis Obispo,CA,Passenger,1,0,1,65,66,1.52
August 31 2020,Salt Lake,UT,Passenger,1,1,2,198,200,1.00
February 28 2019,Ramsey,MN,Passenger,1,0,1,42,43,2.33
May 31 2024,Essex,NJ,Passenger,2,1,3,6,9,33.33
March 31 2018,Madison,ID,Passenger,1,0,1,37,38,2.63
December 31 2020,Ulster,NY,Passenger,1,0,1,13,14,7.14
June 30 2021,Sumter,FL,Passenger,0,1,1,9,10,10.00
January 31 2019,Lake,CA,Passenger,0,1,1,11,12,8.33
July 31 2022,Okanogan,WA,Passenger,86,49,135,26259,26394,0.51
March 31 2021,,,Passenger,4,1,5,348,353,1.42
December 31 2018,King,WA,Truck,6,1,7,182600,182607,0.00
March 31 2018,Arlington,VA,Passenger,1,2,3,182,185,1.62
September 30 2018,San Mateo,CA,Passenger,1,1,2,138,140,1.43
September 30 2019,Harris,TX,Passenger,1,1,2,290,292,0.68
July 31 2019,Loudoun,VA,Passenger,1,0,1,98,99,1.01
January 31 2022,Lane,OR,Passenger,0,2,2,120,122,1.64
September 30 2023,Hillsborough,FL,Passenger,3,2,5,108,113,4.42
May 31 2024,Autauga,AL,Passenger,2,1,3,11,14,21.43
March 31 2018,Jefferson,CO,Passenger,0,1,1,69,70,1.43
October 31 2020,DuPage,IL,Passenger,4,1,5,59,64,7.81
February 28 2018,,,Passenger,3,1,4,431,435,0.92
March 31 2023,Portsmouth,VA,Passenger,0,1,1,65,66,1.52
January 31 2021,Greene,MO,Passenger,0,1,1,36,37,2.70
March 31 2019,Juneau,AK,Passenger,0,1,1,36,37,2.70
December 31 2020,Larimer,CO,Passenger,1,0,1,49,50,2.00
April 30 2022,Island,WA,Truck,1,0,1,21403,21404,0.00
November 30 2022,Island,WA,Truck,15,0,15,21186,21201,0.07
August 31 2020,Solano,CA,Passenger,1,0,1,214,215,0.47
December 31 2019,Pend Oreille,WA,Passenger,7,7,14,9507,9521,0.15
April 30 2022,Kittitas,WA,Passenger,235,78,313,29725,30038,1.04
June 30 2022,Travis,TX,Passenger,2,1,3,124,127,2.36
February 28 2023,Cowlitz,WA,Truck,7,0,7,28311,28318,0.02
June 30 2017,Multnomah,OR,Passenger,1,3,4,1005,1009,0.40
August 31 2021,Burlington,NJ,Passenger,0,1,1,117,118,0.85
March 31 2020,Clay,FL,Passenger,0,1,1,85,86,1.16
November 30 2023,Sarpy,NE,Passenger,1,0,1,57,58,1.72
June 30 2019,Santa Cruz,CA,Passenger,1,0,1,43,44,2.27
May 31 2022,Penobscot,ME,Passenger,0,1,1,7,8,12.50
December 31 2018,Santa Fe,NM,Passenger,0,1,1,42,43,2.33
February 28 2019,Riverside,CA,Passenger,2,2,4,674,678,0.59
October 31 2021,Bexar,TX,Passenger,2,5,7,537,544,1.29
October 31 2020,Grays Harbor,WA,Passenger,118,117,235,48500,48735,0.48
January 31 2021,Snohomish,WA,Truck,1,0,1,125663,125664,0.00
December 31 2022,Yakima,WA,Truck,6,0,6,61143,61149,0.01
November 30 2019,Kent,MI,Passenger,0,1,1,28,29,3.45
February 28 2021,Montgomery,AL,Passenger,1,0,1,41,42,2.38
October 31 2023,Rockingham,NH,Passenger,1,0,1,11,12,8.33
April 30 2023,Chelan,WA,Truck,26,0,26,23117,23143,0.11
January 31 2018,Monterey,CA,Passenger,0,2,2,201,203,0.99
June 30 2023,Pacific,WA,Truck,4,0,4,7822,7826,0.05
April 30 2017,Okaloosa,FL,Passenger,1,0,1,195,196,0.51
February 28 2023,Pacific,WA,Passenger,72,82,154,15643,15797,0.97
March 31 2020,Pima,AZ,Passenger,3,1,4,390,394,1.02
February 29 2020,Ferry,WA,Passenger,5,2,7,4375,4382,0.16
March 31 2023,Walla Walla,WA,Truck,5,0,5,13783,13788,0.04
August 31 2023,Clallam,WA,Truck,18,0,18,21662,21680,0.08
May 31 2019,DuPage,IL,Passenger,1,0,1,65,66,1.52
February 28 2019,Gwinnett,GA,Passenger,0,1,1,79,80,1.25
March 31 2022,Yavapai,AZ,Passenger,0,1,1,35,36,2.78
February 29 2024,Yuba,CA,Passenger,1,0,1,47,48,2.08
July 31 2020,Douglas,WA,Truck,0,0,0,12344,12344,0.00
July 31 2019,Snohomish,WA,Passenger,3554,1616,5170,532550,537720,0.96
March 31 2018,Pacific,WA,Truck,0,0,0,7572,7572,0.00
January 31 2017,Mason,WA,Truck,0,0,0,19182,19182,0.00
April 30 2024,Ventura,CA,Passenger,3,3,6,194,200,3.00
January 31 2024,Brown,WI,Passenger,1,0,1,4,5,20.00
April 30 2023,Eagle,CO,Passenger,1,0,1,6,7,14.29
March 31 2021,Norfolk,VA,Passenger,2,3,5,320,325,1.54
August 31 2020,Harnett,NC,Passenger,1,0,1,202,203,0.49
August 31 2018,Island,WA,Truck,0,0,0,21034,21034,0.00
March 31 2020,Whatcom,WA,Passenger,1058,490,1548,151126,152674,1.01
March 31 2023,Yakima,WA,Truck,9,0,9,61129,61138,0.01
September 30 2020,Klickitat,WA,Truck,0,0,0,8099,8099,0.00
July 31 2021,Collin,TX,Passenger,2,1,3,122,125,2.40
September 30 2022,Stafford,VA,Passenger,2,1,3,92,95,3.16
September 30 2021,Wake,NC,Passenger,1,0,1,131,132,0.76
June 30 2024,Marion,OR,Passenger,1,0,1,43,44,2.27
November 30 2022,Fredericksburg,VA,Passenger,1,0,1,6,7,14.29
August 31 2023,Brown,WI,Passenger,1,0,1,5,6,16.67
September 30 2023,Marion,IA,Passenger,1,0,1,0,1,100.00
February 28 2018,Ada,ID,Passenger,0,2,2,360,362,0.55
April 30 2023,Harnett,NC,Passenger,4,0,4,142,146,2.74
January 31 2023,Pacific,WA,Truck,2,0,2,7810,7812,0.03
September 30 2021,Ferry,WA,Truck,0,0,0,3594,3594,0.00
March 31 2020,Pacific,WA,Passenger,29,34,63,16018,16081,0.39
November 30 2020,Travis,TX,Passenger,3,0,3,190,193,1.55
October 31 2021,Dallas,TX,Passenger,1,0,1,167,168,0.60
July 31 2022,Maui,HI,Passenger,1,0,1,24,25,4.00
September 30 2023,Tom Green,TX,Passenger,0,1,1,17,18,5.56
March 31 2022,Yakima,WA,Passenger,312,181,493,167580,168073,0.29
October 31 2017,Douglas,WA,Passenger,36,32,68,26963,27031,0.25
April 30 2021,Kittitas,WA,Truck,0,0,0,14775,14775,0.00
December 31 2023,Okanogan,WA,Truck,8,0,8,16369,16377,0.05
April 30 2022,Anne Arundel,MD,Passenger,3,2,5,369,374,1.34
October 31 2023,Tarrant,TX,Passenger,2,0,2,89,91,2.20
May 31 2020,Washington,OR,Passenger,1,0,1,468,469,0.21
June 30 2020,DeKalb,GA,Passenger,1,0,1,85,86,1.16
March 31 2021,Klamath,OR,Passenger,1,0,1,32,33,3.03
March 31 2023,Berkeley,SC,Passenger,0,1,1,114,115,0.87
July 31 2017,Twin Falls,ID,Passenger,0,1,1,25,26,3.85
December 31 2018,Valencia,NM,Passenger,1,0,1,12,13,7.69
November 30 2018,Klickitat,WA,Truck,0,0,0,8175,8175,0.00
May 31 2019,Kittitas,WA,Truck,0,0,0,14382,14382,0.00
August 31 2018,Palm Beach,FL,Passenger,0,2,2,88,90,2.22
July 31 2023,Whatcom,WA,Passenger,2564,906,3470,147822,151292,2.29
July 31 2020,Nueces,TX,Passenger,1,0,1,85,86,1.16
September 30 2020,Harrison,MS,Passenger,1,0,1,55,56,1.79
October 31 2021,District of Columbia,DC,Passenger,4,0,4,182,186,2.15
June 30 2019,Washoe,NV,Passenger,2,0,2,118,120,1.67
November 30 2018,Nantucket,MA,Passenger,1,0,1,4,5,20.00
April 30 2023,Botetourt,VA,Passenger,1,0,1,0,1,100.00
February 28 2023,Bexar,TX,Passenger,4,3,7,434,441,1.59
October 31 2022,Skagit,WA,Passenger,886,349,1235,89321,90556,1.36
March 31 2017,Collin,TX,Passenger,0,1,1,154,155,0.65
December 31 2023,San Juan,WA,Passenger,685,196,881,13669,14550,6.05
May 31 2020,Jefferson,WA,Passenger,234,141,375,24812,25187,1.49
August 31 2019,New London,CT,Passenger,0,1,1,238,239,0.42
December 31 2017,Jefferson,NY,Passenger,1,0,1,230,231,0.43
September 30 2018,Utah,UT,Passenger,0,1,1,149,150,0.67
April 30 2022,Hennepin,MN,Passenger,3,0,3,66,69,4.35
October 31 2022,Pennington,SD,Passenger,2,0,2,24,26,7.69
September 30 2023,Atlantic,NJ,Passenger,1,0,1,10,11,9.09
March 31 2021,Owyhee,ID,Passenger,1,0,1,3,4,25.00
July 31 2024,Maui,HI,Passenger,1,0,1,14,15,6.67
July 31 2018,Chelan,WA,Passenger,112,52,164,53568,53732,0.31
February 28 2018,Monterey,CA,Passenger,0,2,2,199,201,1.00
May 31 2018,Broward,FL,Passenger,1,1,2,133,135,1.48
April 30 2022,Thurston,WA,Truck,3,0,3,55474,55477,0.01
July 31 2022,Williamson,TX,Passenger,1,2,3,94,97,3.09
October 31 2017,Ventura,CA,Passenger,0,1,1,351,352,0.28
October 31 2023,Mason,WA,Passenger,513,222,735,46166,46901,1.57
August 31 2024,Columbia,GA,Passenger,1,0,1,67,68,1.47
April 30 2022,Placer,CA,Passenger,2,0,2,79,81,2.47
July 31 2023,Loudoun,VA,Passenger,2,1,3,63,66,4.55
September 30 2020,Greene,MO,Passenger,0,1,1,35,36,2.78
November 30 2020,Sarasota,FL,Passenger,2,0,2,38,40,5.00
March 31 2022,Penobscot,ME,Passenger,0,1,1,6,7,14.29
February 29 2020,King,WA,Passenger,23438,7672,31110,1399458,1430568,2.17
May 31 2017,King,WA,Truck,8,1,9,188230,188239,0.00
April 30 2024,Multnomah,OR,Passenger,2,1,3,351,354,0.85
November 30 2020,Honolulu,HI,Passenger,5,2,7,478,485,1.44
July 31 2022,Fairfax,VA,Passenger,6,2,8,643,651,1.23
July 31 2020,St. Louis,MO,Passenger,1,0,1,100,101,0.99
April 30 2024,Sacramento,CA,Truck,1,0,1,28,29,3.45
January 31 2023,Maui,HI,Passenger,1,0,1,26,27,3.70
October 31 2022,Philadelphia,PA,Passenger,1,0,1,52,53,1.89
July 31 2022,Stafford,VA,Passenger,2,1,3,93,96,3.12
January 31 2018,Adams,WA,Passenger,4,4,8,12437,12445,0.06
June 30 2023,Grant,WA,Truck,11,0,11,28080,28091,0.04
September 30 2018,Mason,WA,Truck,0,0,0,20083,20083,0.00
January 31 2020,Mason,WA,Truck,0,0,0,20557,20557,0.00
January 31 2018,Cowlitz,WA,Truck,0,0,0,28199,28199,0.00
November 30 2020,El Paso,TX,Passenger,3,0,3,407,410,0.73
February 28 2018,Salt Lake,UT,Passenger,1,0,1,240,241,0.41
December 31 2018,Hardin,KY,Passenger,0,1,1,104,105,0.95
July 31 2022,Yellowstone,MT,Passenger,0,1,1,24,25,4.00
June 30 2021,Platte,MO,Passenger,1,0,1,17,18,5.56
January 31 2023,Charleston,SC,Passenger,1,2,3,62,65,4.62
March 31 2024,Mercer,NJ,Passenger,0,1,1,6,7,14.29
February 29 2020,Monroe,IL,Passenger,1,0,1,3,4,25.00
July 31 2021,Jones,GA,Passenger,1,0,1,1,2,50.00
October 31 2023,Adams,WA,Truck,3,0,3,5351,5354,0.06
July 31 2021,Orange,FL,Passenger,2,0,2,116,118,1.69
April 30 2019,Thurston,WA,Truck,0,0,0,54998,54998,0.00
March 31 2024,Adams,WA,Passenger,33,15,48,13090,13138,0.37
February 28 2021,Ventura,CA,Passenger,1,2,3,291,294,1.02
May 31 2023,Pinal,AZ,Passenger,0,1,1,95,96,1.04
October 31 2022,San Francisco,CA,Passenger,2,0,2,82,84,2.38
January 31 2022,St. Clair,IL,Passenger,1,0,1,131,132,0.76
March 31 2019,District of Columbia,DC,Passenger,1,1,2,195,197,1.02
April 30 2023,Washington,MD,Passenger,2,0,2,14,16,12.50
March 31 2021,Sarasota,FL,Passenger,2,0,2,37,39,5.13
February 29 2020,Rogers,OK,Passenger,1,0,1,10,11,9.09
January 31 2020,Valencia,NM,Passenger,1,0,1,7,8,12.50
June 30 2023,Hawaii,HI,Passenger,1,0,1,35,36,2.78
September 30 2017,Whatcom,WA,Passenger,497,190,687,143809,144496,0.48
December 31 2021,Bexar,TX,Passenger,2,4,6,530,536,1.12
March 31 2018,Bexar,TX,Passenger,2,2,4,797,801,0.50
July 31 2021,Richland,SC,Passenger,0,1,1,141,142,0.70
May 31 2023,Skagit,WA,Truck,19,0,19,31913,31932,0.06
April 30 2022,Arapahoe,CO,Passenger,0,1,1,101,102,0.98
June 30 2022,Currituck,NC,Passenger,1,0,1,22,23,4.35
June 30 2024,Kings,NY,Passenger,1,0,1,25,26,3.85
January 31 2022,Kauai,HI,Passenger,1,0,1,20,21,4.76
January 31 2023,Polk,OR,Passenger,1,1,2,19,21,9.52
August 31 2023,Wayne,MI,Passenger,0,1,1,42,43,2.33
October 31 2020,Eagle,CO,Passenger,1,0,1,7,8,12.50
October 31 2021,Clackamas,OR,Passenger,2,0,2,181,183,1.09
November 30 2019,Collin,TX,Passenger,2,1,3,148,151,1.99
April 30 2019,Cook,IL,Passenger,1,0,1,247,248,0.40
October 31 2021,Prince George's,MD,Passenger,2,1,3,152,155,1.94
April 30 2024,Stevens,WA,Truck,6,0,6,18654,18660,0.03
May 31 2024,Howard,MD,Passenger,0,2,2,55,57,3.51
February 29 2024,Kern,CA,Passenger,1,1,2,155,157,1.27
January 31 2017,Norfolk,VA,Passenger,1,1,2,305,307,0.65
October 31 2018,Montgomery,TX,Passenger,2,0,2,65,67,2.99
September 30 2019,Kootenai,ID,Passenger,1,2,3,227,230,1.30
April 30 2022,Wake,NC,Passenger,1,0,1,113,114,0.88
May 31 2024,Sarasota,FL,Passenger,1,0,1,18,19,5.26
September 30 2019,Owyhee,ID,Passenger,1,0,1,4,5,20.00
June 30 2020,Botetourt,VA,Passenger,1,0,1,0,1,100.00
May 31 2022,Lewis,WA,Truck,0,0,0,26406,26406,0.00
September 30 2017,Mason,WA,Passenger,61,71,132,44174,44306,0.30
August 31 2019,Pacific,WA,Passenger,23,29,52,16037,16089,0.32
December 31 2020,Harnett,NC,Passenger,1,0,1,198,199,0.50
September 30 2022,Klickitat,WA,Passenger,108,53,161,15101,15262,1.05
April 30 2022,Garfield,WA,Passenger,0,3,3,1324,1327,0.23
March 31 2020,Honolulu,HI,Passenger,4,2,6,499,505,1.19
July 31 2020,Adams,WA,Passenger,9,7,16,12856,12872,0.12
August 31 2021,Nueces,TX,Passenger,1,0,1,71,72,1.39
November 30 2023,Douglas,NE,Passenger,1,1,2,29,31,6.45
November 30 2022,Placer,CA,Passenger,2,0,2,73,75,2.67
August 31 2020,Kent,MI,Passenger,0,1,1,29,30,3.33
February 28 2017,St. Lucie,FL,Passenger,1,0,1,30,31,3.23
November 30 2020,Powhatan,VA,Passenger,1,0,1,1,2,50.00
March 31 2022,Lincoln,WA,Passenger,7,18,25,7658,7683,0.33
November 30 2018,Okanogan,WA,Truck,0,0,0,16495,16495,0.00
April 30 2017,Cowlitz,WA,Truck,0,0,0,27851,27851,0.00
November 30 2017,Allegheny,PA,Passenger,1,0,1,94,95,1.05
April 30 2017,Pierce,WA,Truck,0,0,0,137775,137775,0.00
December 31 2018,Benton,WA,Passenger,227,234,461,132895,133356,0.35
July 31 2022,Queens,NY,Passenger,1,0,1,48,49,2.04
October 31 2022,Arlington,VA,Passenger,1,0,1,126,127,0.79
November 30 2020,Denver,CO,Passenger,1,0,1,120,121,0.83
November 30 2019,Hudson,NJ,Passenger,1,0,1,39,40,2.50
November 30 2020,Dallas,IA,Passenger,0,1,1,11,12,8.33
July 31 2020,Santa Cruz,CA,Passenger,1,0,1,32,33,3.03
December 31 2020,Monroe,IL,Passenger,1,0,1,2,3,33.33
April 30 2018,,,Passenger,3,2,5,430,435,1.15
January 31 2017,Stevens,WA,Passenger,6,21,27,31524,31551,0.09
March 31 2019,Santa Clara,CA,Passenger,8,1,9,375,384,2.34
July 31 2024,Contra Costa,CA,Passenger,2,1,3,124,127,2.36
December 31 2019,Klickitat,WA,Truck,0,0,0,8314,8314,0.00
February 28 2021,Chelan,WA,Passenger,301,88,389,54480,54869,0.71
January 31 2020,St. Mary's,MD,Passenger,1,0,1,206,207,0.48
March 31 2018,Carroll,NH,Passenger,0,1,1,1,2,50.00
June 30 2024,Los Angeles,CA,Passenger,11,3,14,515,529,2.65
January 31 2024,Los Angeles,CA,Passenger,11,4,15,587,602,2.49
July 31 2019,Klamath,OR,Passenger,1,0,1,40,41,2.44
June 30 2024,Harford,MD,Passenger,2,1,3,42,45,6.67
